tweet_id,tweet_text,date,user_id,name,follower_count,retweet_count,user_mentions
1374735514184601604,RT @JudiciaryGOP:  #BREAKING: @Jim_Jordan and @RepMcClintock invite all Democrats on the House Judiciary Committee to travel to the southe,03/24/2021,1268369488040407044,Joe Biala,129,125,"[{'screen_name': 'JudiciaryGOP', 'name': 'House Judiciary GOP', 'id': 1131917492, 'id_str': '1131917492', 'indices': [3, 16]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [31, 42]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [47, 61]}]"
1374735484723679233,"@Jim_Jordan Unfortunately, the Previous administration did absolutely zero on infrastructure or climate change for https://t.co/gB2kAVGdJx",03/24/2021,796582543978102784,L. Scott,71,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}]"
1374735481720692741,@Jim_Jordan I wonder how many people were killed because of suicide after jim jordan covered up the rapes.,03/24/2021,373446295,Edward Morling,9,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}]"
1374735481099980809,@Jim_Jordan Ohhhhh this is a real page turner..... NOT!!,03/24/2021,157603492,davrosindalekland,581,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}]"
1374735470375092230,@Jim_Jordan Wow you wrote a letter. let's see how far that goes,03/24/2021,1362483387508920320,Don,4,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}]"
1374735468097634307,@Jim_Jordan He is a total joke,03/24/2021,1346983529981255681,norma contestable,5,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}]"
1374735459981479940,"RT @SeloverDoug: @Jim_Jordan Of the 49 resolutions or amendments introduced by Gym Shorts Jordan, 16 have failed, 30 have never moved beyon",03/24/2021,1280964364674064384,Deohgee65,30,1,"[{'screen_name': 'SeloverDoug', 'name': 'doug selover', 'id': 1361713378889261061, 'id_str': '1361713378889261061', 'indices': [3, 15]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [17, 28]}]"
1374735438687178755,"@Jim_Jordan Do something REALLY MEANINGFUL. 
Introduce legislation to remove assault style weapons and high capacit https://t.co/zQPKo1LB22",03/24/2021,1361713378889261061,doug selover,9,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}]"
1374735425827442697,RT @JeremyBlanford: At @SpeakerCupp today is the day you give OH citizens their God given freedoms back. OH citizens are watching Sir. No c,03/24/2021,19681270,Mike,1128,16,"[{'screen_name': 'JeremyBlanford', 'name': 'Jeremy Blanford', 'id': 786741553591033857, 'id_str': '786741553591033857', 'indices': [3, 18]}, {'screen_name': 'SpeakerCupp', 'name': 'Speaker Bob Cupp', 'id': 1299041685767217152, 'id_str': '1299041685767217152', 'indices': [23, 35]}]"
1374735397843046401,@Jim_Jordan Thank you Jim,03/24/2021,1342301351959785472,char,2,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}]"
1374735397645860870,"RT @MikeEmanuelFox: Rep. Jim Jordan (R-OH) and Rep. Tom McClintock (R-CA) say they intend to travel to the southern border. In NEW letter,",03/24/2021,2829899915,Doris Williams,1104,4,"[{'screen_name': 'MikeEmanuelFox', 'name': 'Mike Emanuel 🇺🇸', 'id': 129879105, 'id_str': '129879105', 'indices': [3, 18]}]"
1374735397104844800,RT @JudiciaryGOP:  #BREAKING: @Jim_Jordan and @RepMcClintock invite all Democrats on the House Judiciary Committee to travel to the southe,03/24/2021,1214693710023278592,miller-36,2,125,"[{'screen_name': 'JudiciaryGOP', 'name': 'House Judiciary GOP', 'id': 1131917492, 'id_str': '1131917492', 'indices': [3, 16]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [31, 42]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [47, 61]}]"
1374735392654692361,RT @JudiciaryGOP:  #BREAKING: @Jim_Jordan and @RepMcClintock invite all Democrats on the House Judiciary Committee to travel to the southe,03/24/2021,878957612217192449,Michelle Smith,306,125,"[{'screen_name': 'JudiciaryGOP', 'name': 'House Judiciary GOP', 'id': 1131917492, 'id_str': '1131917492', 'indices': [3, 16]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [31, 42]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [47, 61]}]"
1374735377706127363,"@Jim_Jordan Don't watch, Jim Jordan touches himself in the end",03/24/2021,1373168423186862080,The Rt Hon Lady McDreck,13,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}]"
1374735374094725128,RT @JudiciaryGOP:  #BREAKING: @Jim_Jordan and @RepMcClintock invite all Democrats on the House Judiciary Committee to travel to the southe,03/24/2021,19313047,Josephine,278,125,"[{'screen_name': 'JudiciaryGOP', 'name': 'House Judiciary GOP', 'id': 1131917492, 'id_str': '1131917492', 'indices': [3, 16]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [31, 42]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [47, 61]}]"
1374735346974347274,"RT @MikeEmanuelFox: Rep. Jim Jordan (R-OH) and Rep. Tom McClintock (R-CA) say they intend to travel to the southern border. In NEW letter,",03/24/2021,1230603732519276546,Jeannette Russell,1175,4,"[{'screen_name': 'MikeEmanuelFox', 'name': 'Mike Emanuel 🇺🇸', 'id': 129879105, 'id_str': '129879105', 'indices': [3, 18]}]"
1374735345342898177,"In other news, Jim Jordan, darling of the NRA and backed by its money, hasn't said a word about the latest mass sho https://t.co/VzvzKO0LOk",03/24/2021,3028887766,Wayne Coffey,1274,0,[]
1374735335230439425,"RT @KeeblrD: @Jim_Jordan @Beefrick2020 The real question is why would t you want to spend 3 trillion dollars to create jobs , help our econ",03/24/2021,1318193132215914496,FRED,108,1,"[{'screen_name': 'KeeblrD', 'name': 'Keeblr Elf Destroyer', 'id': 954878482890321920, 'id_str': '954878482890321920', 'indices': [3, 11]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [13, 24]}, {'screen_name': 'Beefrick2020', 'name': 'FRED', 'id': 1318193132215914496, 'id_str': '1318193132215914496', 'indices': [25, 38]}]"
1374735313138900998,"RT @Sites4Congress: Another set of relief checks should hit bank accounts today.

Just a reminder as you receive yours: Jim Jordan didn't w",03/24/2021,252849146,Leijanna,612,275,"[{'screen_name': 'Sites4Congress', 'name': 'Jeff Sites for Congress', 'id': 1155192538535550976, 'id_str': '1155192538535550976', 'indices': [3, 18]}]"
1374735311159328770,Ohio....Jim Jordan needs to go! He does NOTHING for his constituents. Political puppets don't help people! They run https://t.co/CxNjpZfwPU,03/24/2021,951662904,Thiscantbehappening,946,0,[]
1374735310916104197,@Jim_Jordan It is actually seasonal if you read a chart as opposed to hiding from pedophilia charges.,03/24/2021,253301670,Jullian Restin,44,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}]"
1374735307971698692,"@Jim_Jordan Thank you @Jim_Jordan! You just donated $1,597 to #defeatbytweet &amp; #defeattreason! 

You and your treas https://t.co/T9pgz3jRzf",03/24/2021,1271599732050272258,#DefeatByTweet,14550,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [22, 33]}]"
1374735302082895879,@imtweeting4462 @SenSherrodBrown @Jim_Jordan I can't stand gym jordan,03/24/2021,1923820765,Leigh Ann Minturn,39,0,"[{'screen_name': 'imtweeting4462', 'name': 'j wood', 'id': 3060327737, 'id_str': '3060327737', 'indices': [0, 15]}, {'screen_name': 'SenSherrodBrown', 'name': 'Sherrod Brown', 'id': 43910797, 'id_str': '43910797', 'indices': [16, 32]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [33, 44]}]"
1374735290775052298,RT @Sites4Congress: @JudiciaryGOP @Jim_Jordan @RepMcClintock #BREAKING: Jim Jordan desperately doesn't want anyone thinking about how anoth,03/24/2021,1203046090209202176,🌊Bob From Canada,1344,5,"[{'screen_name': 'Sites4Congress', 'name': 'Jeff Sites for Congress', 'id': 1155192538535550976, 'id_str': '1155192538535550976', 'indices': [3, 18]}, {'screen_name': 'JudiciaryGOP', 'name': 'House Judiciary GOP', 'id': 1131917492, 'id_str': '1131917492', 'indices': [20, 33]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [34, 45]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [46, 60]}]"
1374735269249826818,"RT @Sites4Congress: Another set of relief checks should hit bank accounts today.

Just a reminder as you receive yours: Jim Jordan didn't w",03/24/2021,3710401641,Robert Criz,54,275,"[{'screen_name': 'Sites4Congress', 'name': 'Jeff Sites for Congress', 'id': 1155192538535550976, 'id_str': '1155192538535550976', 'indices': [3, 18]}]"
1374735268243210245,RT @Tinker_Bell_04: Jim Jordan has spent his time in office fighting against every bill that would support  the people hes supposed to rep,03/24/2021,39998666,Nancy J,2889,80,"[{'screen_name': 'Tinker_Bell_04', 'name': 'NikkiM', 'id': 935717661232603136, 'id_str': '935717661232603136', 'indices': [3, 18]}]"
1374735266313830404,RT @Sites4Congress: @JudiciaryGOP @Jim_Jordan @RepMcClintock #BREAKING: Jim Jordan desperately doesn't want anyone thinking about how anoth,03/24/2021,4386818062,Carol,49,5,"[{'screen_name': 'Sites4Congress', 'name': 'Jeff Sites for Congress', 'id': 1155192538535550976, 'id_str': '1155192538535550976', 'indices': [3, 18]}, {'screen_name': 'JudiciaryGOP', 'name': 'House Judiciary GOP', 'id': 1131917492, 'id_str': '1131917492', 'indices': [20, 33]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [34, 45]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [46, 60]}]"
1374735255677046784,"@Jim_Jordan @ShannonBream I didn't watch, did you explain why you covered up all this rapes?",03/24/2021,373446295,Edward Morling,9,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}, {'screen_name': 'ShannonBream', 'name': 'Shannon Bream', 'id': 18983793, 'id_str': '18983793', 'indices': [12, 25]}]"
1374735254393647111,"@Jim_Jordan Wasting more of everyones time, Gym. Now guns are a real crisis. Say something about that.",03/24/2021,31818142,Fred Kesselman,498,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}]"
1374735254175420419,@Jim_Jordan Your constituents sure deserve better than you.,03/24/2021,1067997311496679424,Marcadimus Tales,479,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}]"
1374735233946415111,"RT @Sites4Congress: Another set of relief checks should hit bank accounts today.

Just a reminder as you receive yours: Jim Jordan didn't w",03/24/2021,3319242561,Laura F T,1253,276,"[{'screen_name': 'Sites4Congress', 'name': 'Jeff Sites for Congress', 'id': 1155192538535550976, 'id_str': '1155192538535550976', 'indices': [3, 18]}]"
1374735231287181312,@JudiciaryGOP @Jim_Jordan @RepMcClintock GOOD. Its about time someone in the Republican party at least attempts to https://t.co/wPJ2pjxULK,03/24/2021,40668487,🗽TheObjectiveEngineer 🇺🇸,523,0,"[{'screen_name': 'JudiciaryGOP', 'name': 'House Judiciary GOP', 'id': 1131917492, 'id_str': '1131917492', 'indices': [0, 13]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [14, 25]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [26, 40]}]"
1374735226967035908,RT @Tinker_Bell_04: Jim Jordan has spent his time in office fighting against every bill that would support  the people hes supposed to rep,03/24/2021,1170880513281810433,Tara Tisch🦓🍀🎨🏴‍☠️,4927,80,"[{'screen_name': 'Tinker_Bell_04', 'name': 'NikkiM', 'id': 935717661232603136, 'id_str': '935717661232603136', 'indices': [3, 18]}]"
1374735220306554880,"RT @Sites4Congress: @Jim_Jordan Jim Jordan just voted against one of the biggest single-year tax cuts in modern history, with most of the b",03/24/2021,21584171,2021 has to be better,52,1025,"[{'screen_name': 'Sites4Congress', 'name': 'Jeff Sites for Congress', 'id': 1155192538535550976, 'id_str': '1155192538535550976', 'indices': [3, 18]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [20, 31]}]"
1374735209237774343,"RT @Sites4Congress: Another set of relief checks should hit bank accounts today.

Just a reminder as you receive yours: Jim Jordan didn't w",03/24/2021,1496319918,Patsy Pennington,2315,276,"[{'screen_name': 'Sites4Congress', 'name': 'Jeff Sites for Congress', 'id': 1155192538535550976, 'id_str': '1155192538535550976', 'indices': [3, 18]}]"
1374735205324353539,RT @HeatherChilders: #BREAKING: @Jim_Jordan and @RepMcClintock invite all Democrats on the House Judiciary Committee to travel to the south,03/24/2021,56929691,ExNYmike2,8394,20,"[{'screen_name': 'HeatherChilders', 'name': 'Heather Childers', 'id': 220081296, 'id_str': '220081296', 'indices': [3, 19]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [32, 43]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [48, 62]}]"
1374735204934414343,"RT @MikeEmanuelFox: Rep. Jim Jordan (R-OH) and Rep. Tom McClintock (R-CA) say they intend to travel to the southern border. In NEW letter,",03/24/2021,1131917492,House Judiciary GOP,140380,4,"[{'screen_name': 'MikeEmanuelFox', 'name': 'Mike Emanuel 🇺🇸', 'id': 129879105, 'id_str': '129879105', 'indices': [3, 18]}]"
1374735203042742276,"RT @Sites4Congress: Another set of relief checks should hit bank accounts today.

Just a reminder as you receive yours: Jim Jordan didn't w",03/24/2021,1364412373885411328,Maggie Rasmussen,77,276,"[{'screen_name': 'Sites4Congress', 'name': 'Jeff Sites for Congress', 'id': 1155192538535550976, 'id_str': '1155192538535550976', 'indices': [3, 18]}]"
1374735190740848640,@JudiciaryGOP @Jim_Jordan @RepMcClintock And tax payers pay for their trip,03/24/2021,1335992204632993799,a Pilgrim passing through,8,0,"[{'screen_name': 'JudiciaryGOP', 'name': 'House Judiciary GOP', 'id': 1131917492, 'id_str': '1131917492', 'indices': [0, 13]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [14, 25]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [26, 40]}]"
1374735188312297475,@Fievel131 @ScottAmes @Jim_Jordan Exactly.,03/24/2021,841803798708289537,Just Me,212,0,"[{'screen_name': 'Fievel131', 'name': 'Fievel13🇱🇷', 'id': 1021061445675610112, 'id_str': '1021061445675610112', 'indices': [0, 10]}, {'screen_name': 'ScottAmes', 'name': 'ScottAmes', 'id': 18560120, 'id_str': '18560120', 'indices': [11, 21]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [22, 33]}]"
1374735182117269505,RT @JudiciaryGOP:  #BREAKING: @Jim_Jordan and @RepMcClintock invite all Democrats on the House Judiciary Committee to travel to the southe,03/24/2021,960301162422415360,Boe Xiden POTUS Understudy 🎎,1251,125,"[{'screen_name': 'JudiciaryGOP', 'name': 'House Judiciary GOP', 'id': 1131917492, 'id_str': '1131917492', 'indices': [3, 16]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [31, 42]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [47, 61]}]"
1374735162966167557,RT @JudiciaryGOP:  #BREAKING: @Jim_Jordan and @RepMcClintock invite all Democrats on the House Judiciary Committee to travel to the southe,03/24/2021,1306428411284459529,AngryRant,7,125,"[{'screen_name': 'JudiciaryGOP', 'name': 'House Judiciary GOP', 'id': 1131917492, 'id_str': '1131917492', 'indices': [3, 16]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [31, 42]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [47, 61]}]"
1374735156079038468,"@Jim_Jordan Jockstrap, Why do you Hate America?",03/24/2021,1364662528534437889,morty chase,284,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}]"
1374735153839284225,@Jim_Jordan And this matters for what reason?,03/24/2021,1311898904737193984,MX,11,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}]"
1374735151545077762,@Jim_Jordan Thank you Mister Jordan! God Bless ,03/24/2021,964489952636612613,Dirk Losfeld,80,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}]"
1374735131060097034,@Jim_Jordan @RepJerryNadler feel free to wipe your ass with this shit,03/24/2021,1514685578,G,1048,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}, {'screen_name': 'RepJerryNadler', 'name': 'Rep. Nadler', 'id': 40302336, 'id_str': '40302336', 'indices': [12, 27]}]"
1374735112764588036,"RT @Sites4Congress: I'm a regular working guy, and I'm running because I'm fed up with career politicians like Jim Jordan who pander to wor",03/24/2021,4490372413,Homebrew 🇨🇦,4124,152,"[{'screen_name': 'Sites4Congress', 'name': 'Jeff Sites for Congress', 'id': 1155192538535550976, 'id_str': '1155192538535550976', 'indices': [3, 18]}]"
1374735112575799300,RT @HeatherChilders: #BREAKING: @Jim_Jordan and @RepMcClintock invite all Democrats on the House Judiciary Committee to travel to the south,03/24/2021,1703389129,Lauren B.,311,20,"[{'screen_name': 'HeatherChilders', 'name': 'Heather Childers', 'id': 220081296, 'id_str': '220081296', 'indices': [3, 19]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [32, 43]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [48, 62]}]"
1374735112193990659,"RT @stopbeingaderp: @Jim_Jordan Still unresolved: ""Jim Jordan called me crying, crying, groveling, on the Fourth of July ... begging me to",03/24/2021,948763967098269697,"George Jones ""CadreKushner""",415,34,"[{'screen_name': 'stopbeingaderp', 'name': 'WTF Seriously', 'id': 443852641, 'id_str': '443852641', 'indices': [3, 18]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [20, 31]}]"
1374735102547267588,"@Jim_Jordan Of the 49 resolutions or amendments introduced by Gym Shorts Jordan, 16 have failed, 30 have never move https://t.co/KTtNP79Yus",03/24/2021,1361713378889261061,doug selover,9,1,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}]"
1374735100403924995,"RT @Sites4Congress: Another set of relief checks should hit bank accounts today.

Just a reminder as you receive yours: Jim Jordan didn't w",03/24/2021,826969744758730752,Ron,114,276,"[{'screen_name': 'Sites4Congress', 'name': 'Jeff Sites for Congress', 'id': 1155192538535550976, 'id_str': '1155192538535550976', 'indices': [3, 18]}]"
1374735097946112002,"@cutlerken73 @RobinRodin1 @Jim_Jordan Its 200,000 per person. 
In the United States, average individual income was https://t.co/EaOmaP0R9F",03/24/2021,1075225867410960384,krista,1404,0,"[{'screen_name': 'cutlerken73', 'name': 'Ken 73 Trump is my President', 'id': 805087705382195200, 'id_str': '805087705382195200', 'indices': [0, 12]}, {'screen_name': 'RobinRodin1', 'name': 'Robin Rodin', 'id': 1054450883264692224, 'id_str': '1054450883264692224', 'indices': [13, 25]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [26, 37]}]"
1374735096041897992,@JudiciaryGOP @Jim_Jordan @RepMcClintock how many groups of men were raped that jim jordan ignored? and what did he https://t.co/fmseggtU47,03/24/2021,373446295,Edward Morling,9,0,"[{'screen_name': 'JudiciaryGOP', 'name': 'House Judiciary GOP', 'id': 1131917492, 'id_str': '1131917492', 'indices': [0, 13]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [14, 25]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [26, 40]}]"
1374735095559454721,"RT @Sites4Congress: Another set of relief checks should hit bank accounts today.

Just a reminder as you receive yours: Jim Jordan didn't w",03/24/2021,16622854,Steffes,246,276,"[{'screen_name': 'Sites4Congress', 'name': 'Jeff Sites for Congress', 'id': 1155192538535550976, 'id_str': '1155192538535550976', 'indices': [3, 18]}]"
1374735094284492805,RT @JudiciaryGOP:  #BREAKING: @Jim_Jordan and @RepMcClintock invite all Democrats on the House Judiciary Committee to travel to the southe,03/24/2021,1703389129,Lauren B.,311,125,"[{'screen_name': 'JudiciaryGOP', 'name': 'House Judiciary GOP', 'id': 1131917492, 'id_str': '1131917492', 'indices': [3, 16]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [31, 42]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [47, 61]}]"
1374735090798850056,@Michael96654721 @JudiciaryGOP @Jim_Jordan @RepMcClintock Bot Reported Blocked,03/24/2021,1256802540122804225,Hugh G Merriman MD,1734,0,"[{'screen_name': 'Michael96654721', 'name': 'Michael Daniels', 'id': 890696975880007681, 'id_str': '890696975880007681', 'indices': [0, 16]}, {'screen_name': 'JudiciaryGOP', 'name': 'House Judiciary GOP', 'id': 1131917492, 'id_str': '1131917492', 'indices': [17, 30]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [31, 42]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [43, 57]}]"
1374735086122196996,@dancingdogblog @EricAquaFalls @Sites4Congress @Jim_Jordan The bottom of a crack rock,03/24/2021,1053755431,Ethnic Clark Kent,228,0,"[{'screen_name': 'dancingdogblog', 'name': 'Mary E Haight', 'id': 19012467, 'id_str': '19012467', 'indices': [0, 15]}, {'screen_name': 'EricAquaFalls', 'name': 'Eric', 'id': 825070040, 'id_str': '825070040', 'indices': [16, 30]}, {'screen_name': 'Sites4Congress', 'name': 'Jeff Sites for Congress', 'id': 1155192538535550976, 'id_str': '1155192538535550976', 'indices': [31, 46]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [47, 58]}]"
1374735080577495041,RT @JudiciaryGOP:  #BREAKING: @Jim_Jordan and @RepMcClintock invite all Democrats on the House Judiciary Committee to travel to the southe,03/24/2021,1342512456023814145,ProJRTX,32,125,"[{'screen_name': 'JudiciaryGOP', 'name': 'House Judiciary GOP', 'id': 1131917492, 'id_str': '1131917492', 'indices': [3, 16]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [31, 42]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [47, 61]}]"
1374735071442214918,RT @HeatherChilders: #BREAKING: @Jim_Jordan and @RepMcClintock invite all Democrats on the House Judiciary Committee to travel to the south,03/24/2021,1230603732519276546,Jeannette Russell,1175,20,"[{'screen_name': 'HeatherChilders', 'name': 'Heather Childers', 'id': 220081296, 'id_str': '220081296', 'indices': [3, 19]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [32, 43]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [48, 62]}]"
1374735027469230082,@Jim_Jordan Couldnt make it past the first sentence without ,03/24/2021,1365012013827637248,Marjorie Taylor Greene’s GOOD shoulder Angel 🌊🌊,807,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}]"
1374735027024453638,@Jim_Jordan Faux News used to have actual politicians on.  I guess the standards have fallen.,03/24/2021,1067997311496679424,Marcadimus Tales,479,0,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}]"
1374735021068713985,RT @JudiciaryGOP:  #BREAKING: @Jim_Jordan and @RepMcClintock invite all Democrats on the House Judiciary Committee to travel to the southe,03/24/2021,2341830598,mtnlvr111,327,125,"[{'screen_name': 'JudiciaryGOP', 'name': 'House Judiciary GOP', 'id': 1131917492, 'id_str': '1131917492', 'indices': [3, 16]}, {'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [31, 42]}, {'screen_name': 'RepMcClintock', 'name': 'Tom McClintock', 'id': 50152441, 'id_str': '50152441', 'indices': [47, 61]}]"
1374735020070420480,RT @Sites4Congress: Jim Jordan voted no on one of the biggest single-year tax cuts in modern history with most of the benefit going to work,03/24/2021,24967399,annem13,131,1204,"[{'screen_name': 'Sites4Congress', 'name': 'Jeff Sites for Congress', 'id': 1155192538535550976, 'id_str': '1155192538535550976', 'indices': [3, 18]}]"
