tweet_id,tweet_text,date,user_id,name,follower_count,retweet_count,user_mentions
1374542418280873986,@RepSwalwell WHY? We have elected governing representatives. When this tragedy keeps recurring and the narrative ke https://t.co/uMC8rfDVUT,03/24/2021,48012856,File It!,170,0,"[{'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [0, 12]}]"
1374542406708760576,@RepSwalwell Every week in Chicago ?,03/24/2021,1079569250107432965,The Repentant Ghost of Karl Marx,782,0,"[{'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [0, 12]}]"
1374542402514513923,@lizstl13 @atwellorama @TallulahSC @davidmweissman @BudGothmog44 @tedlieu @RepSwalwell @DickDurbin @SenDuckworth https://t.co/EYnP81hKNg,03/24/2021,1025199639191015425,BrotherNumber2,21,0,"[{'screen_name': 'lizstl13', 'name': 'Elizabeth Davidson', 'id': 825339883338268672, 'id_str': '825339883338268672', 'indices': [0, 9]}, {'screen_name': 'atwellorama', 'name': 'Man With No Name💥', 'id': 269511432, 'id_str': '269511432', 'indices': [10, 22]}, {'screen_name': 'TallulahSC', 'name': 'TallulahCarolina 🌊', 'id': 4913060685, 'id_str': '4913060685', 'indices': [23, 34]}, {'screen_name': 'davidmweissman', 'name': 'David Weissman', 'id': 880018682, 'id_str': '880018682', 'indices': [35, 50]}, {'screen_name': 'BudGothmog44', 'name': 'Bud', 'id': 414221776, 'id_str': '414221776', 'indices': [51, 64]}, {'screen_name': 'tedlieu', 'name': 'Ted Lieu', 'id': 21059255, 'id_str': '21059255', 'indices': [65, 73]}, {'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [74, 86]}, {'screen_name': 'DickDurbin', 'name': 'Dick Durbin', 'id': 308794407, 'id_str': '308794407', 'indices': [87, 98]}, {'screen_name': 'SenDuckworth', 'name': 'Tammy Duckworth', 'id': 1058520120, 'id_str': '1058520120', 'indices': [99, 112]}]"
1374542340858187779,"@Burghgirl69 @Ty_The_Gamer23 @ohmyrocket @RepSwalwell Good, take it tf away from you.",03/24/2021,924355082,Skye 🏴󠁧󠁢󠁳󠁣󠁴󠁿🌸,82,0,"[{'screen_name': 'Burghgirl69', 'name': 'BitchFace😎', 'id': 501785973, 'id_str': '501785973', 'indices': [0, 12]}, {'screen_name': 'Ty_The_Gamer23', 'name': 'Tyler 🎮🏀🏈', 'id': 994691708230057984, 'id_str': '994691708230057984', 'indices': [13, 28]}, {'screen_name': 'ohmyrocket', 'name': 'ohmyrocket', 'id': 18588127, 'id_str': '18588127', 'indices': [29, 40]}, {'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [41, 53]}]"
1374542328573091845,@RepSwalwell Call your congressman.,03/24/2021,18069468,NobodySpecial,278,0,"[{'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [0, 12]}]"
1374542303952441349,Its been 70+ years since the first mass shooting widely publicized in the US. Weve learned nothing https://t.co/n5qSdITzJN,03/24/2021,16977432,Vaughn,2156,0,[]
1374542264094105607,Thank you for your constant attention to this problem. You are one of the people who've been fighting this issue fr https://t.co/hkpQaLy1rl,03/24/2021,21596250,Robin Basham 💛🐝 #BidenHarris #MayaWiley,2511,0,[]
1374542245446131714,@RepSwalwell @SenJohnBarrasso @SenLummis @GOP @GOPChairwoman @GOPLeader @LeaderMcConnell Show you care. For once show you care.,03/24/2021,963195188456796161,Janet Davidson,68,0,"[{'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [0, 12]}, {'screen_name': 'SenJohnBarrasso', 'name': 'Sen. John Barrasso', 'id': 202206694, 'id_str': '202206694', 'indices': [13, 29]}, {'screen_name': 'SenLummis', 'name': 'Senator Cynthia Lummis', 'id': 22831059, 'id_str': '22831059', 'indices': [30, 40]}, {'screen_name': 'GOP', 'name': 'GOP', 'id': 11134252, 'id_str': '11134252', 'indices': [41, 45]}, {'screen_name': 'GOPChairwoman', 'name': 'Ronna McDaniel', 'id': 2353605901, 'id_str': '2353605901', 'indices': [46, 60]}, {'screen_name': 'GOPLeader', 'name': 'Kevin McCarthy', 'id': 19739126, 'id_str': '19739126', 'indices': [61, 71]}, {'screen_name': 'LeaderMcConnell', 'name': 'Leader McConnell', 'id': 1249982359, 'id_str': '1249982359', 'indices': [72, 88]}]"
1374542214840344576,@Trumprehensible @RepSwalwell You think a mass shooter cares about liability insurance? Or any laws?,03/24/2021,1234999066859393025,JustTrumpThings,24,0,"[{'screen_name': 'Trumprehensible', 'name': 'Dan Wiener', 'id': 848522031020814338, 'id_str': '848522031020814338', 'indices': [0, 16]}, {'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [17, 29]}]"
1374542188554686464,"@jake32393055 @weeziebeezie @JackMeh77637947 @mcrjuk9 @RepSwalwell So yes, please do look at the UK, as an example of how to do better.",03/24/2021,924355082,Skye 🏴󠁧󠁢󠁳󠁣󠁴󠁿🌸,82,0,"[{'screen_name': 'jake32393055', 'name': '吸你的妈妈', 'id': 1278081931742187522, 'id_str': '1278081931742187522', 'indices': [0, 13]}, {'screen_name': 'weeziebeezie', 'name': 'Sliggett29', 'id': 1311103575758602240, 'id_str': '1311103575758602240', 'indices': [14, 27]}, {'screen_name': 'JackMeh77637947', 'name': 'Jack Mehoff', 'id': 1339625387798753283, 'id_str': '1339625387798753283', 'indices': [28, 44]}, {'screen_name': 'mcrjuk9', 'name': 'M', 'id': 2640280397, 'id_str': '2640280397', 'indices': [45, 53]}, {'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [54, 66]}]"
1374542078156345344,@jake32393055 @weeziebeezie @JackMeh77637947 @mcrjuk9 @RepSwalwell We had a school shooting in scotland in 1996 and https://t.co/sBszmCVhWP,03/24/2021,924355082,Skye 🏴󠁧󠁢󠁳󠁣󠁴󠁿🌸,82,0,"[{'screen_name': 'jake32393055', 'name': '吸你的妈妈', 'id': 1278081931742187522, 'id_str': '1278081931742187522', 'indices': [0, 13]}, {'screen_name': 'weeziebeezie', 'name': 'Sliggett29', 'id': 1311103575758602240, 'id_str': '1311103575758602240', 'indices': [14, 27]}, {'screen_name': 'JackMeh77637947', 'name': 'Jack Mehoff', 'id': 1339625387798753283, 'id_str': '1339625387798753283', 'indices': [28, 44]}, {'screen_name': 'mcrjuk9', 'name': 'M', 'id': 2640280397, 'id_str': '2640280397', 'indices': [45, 53]}, {'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [54, 66]}]"
1374542059772600321,@RepSwalwell do you think if any children of repub congress people were shot they would feel differently?,03/24/2021,522812752,Nasty Jeanne-- Remove LOUIS DEJOY --save the USPS,371,0,"[{'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [0, 12]}]"
1374542009902399494,"No, America has a mental health crisis that has deepened due to Covid! https://t.co/NPicNEPekk",03/24/2021,1089197873017880581,JeddWest,297,0,[]
1374541985646845954,@RepSwalwell We need gun laws!!!,03/24/2021,118438190,#truthmatters,11,0,"[{'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [0, 12]}]"
1374541979514703881,@Anewdaw36571218 @RepSwalwell So put me on a watchlist based solely on a constitutionally protected possession?,03/24/2021,1234999066859393025,JustTrumpThings,24,0,"[{'screen_name': 'Anewdaw36571218', 'name': 'This was never a Chinese virus, it was a virus.', 'id': 1351892430979813377, 'id_str': '1351892430979813377', 'indices': [0, 16]}, {'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [17, 29]}]"
1374541949764567041,RT @JMCHEVALIER: @harrylitman @MuellerSheWrote Baer installed Sherwin to quash the investigation into Egypts donation of $10mil to trumps c,03/24/2021,1362865444697366528,Alex lo,3,17,"[{'screen_name': 'JMCHEVALIER', 'name': 'J-M Chevalier', 'id': 35205279, 'id_str': '35205279', 'indices': [3, 15]}, {'screen_name': 'harrylitman', 'name': 'Harry Litman', 'id': 817787882395955200, 'id_str': '817787882395955200', 'indices': [17, 29]}, {'screen_name': 'MuellerSheWrote', 'name': 'Mueller, She Wrote', 'id': 926164634570067968, 'id_str': '926164634570067968', 'indices': [30, 46]}]"
1374541890905726976,@RepSwalwell We have a crisis of republicans not caring,03/24/2021,222428434,KMorin,165,0,"[{'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [0, 12]}]"
1374541888728887300,Everyday. https://t.co/dDdTWBHB0n,03/24/2021,194783596,Elliot,276,0,[]
1374541883645464577,"@RepSwalwell ***Attention Dems &amp; Indeps***
@SenateDems @HouseDemocrats
""You cant go 50/50 with no Ho""
Lyric by Drak https://t.co/AA5DwWZ9PX",03/24/2021,1295733176376135680,GLJ,64,0,"[{'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [0, 12]}, {'screen_name': 'SenateDems', 'name': 'Senate Democrats', 'id': 73238146, 'id_str': '73238146', 'indices': [47, 58]}, {'screen_name': 'HouseDemocrats', 'name': 'House Democrats', 'id': 43963249, 'id_str': '43963249', 'indices': [59, 74]}]"
1374541815584587778,@RepSwalwell Colorado already has all those laws and it didnt work,03/24/2021,1234999066859393025,JustTrumpThings,24,0,"[{'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [0, 12]}]"
1374541757573033986,@RepSwalwell Guns are weapons of mass destruction.,03/24/2021,1088224785794879488,ron@yourgoodhealthco.com,13,0,"[{'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [0, 12]}]"
1374541656658116611,RT @RepSwalwell: We have a mass shooting crisis in America.,03/24/2021,942156122,Rep. Eric Swalwell,1058068,3813,"[{'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [3, 15]}]"
